formula,description
RhTe2,"RhTe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one RhTe2 sheet oriented in the (0, 0, 1) direction. Rh(1) is bonded to six equivalent Te(1) atoms to form edge-sharing RhTe6 octahedra. All Rh(1)-Te(1) bond lengths are 2.67 Å. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Rh(1) atoms."
NS,"NS is Indium-like structured and crystallizes in the triclinic P-1 space group. The structure is zero-dimensional and consists of one 1,3,2,4-dithiadiazetidine molecule. N(1) is bonded in a distorted L-shaped geometry to two equivalent S(1) atoms. There is one shorter (1.64 Å) and one longer (1.66 Å) N(1)-S(1) bond length. S(1) is bonded in a distorted L-shaped geometry to two equivalent N(1) atoms."
ScOBr,"ScOBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one ScOBr sheet oriented in the (0, 0, 1) direction. Sc(1) is bonded in a 6-coordinate geometry to four equivalent O(1) and two equivalent Br(1) atoms. There are two shorter (2.08 Å) and two longer (2.15 Å) Sc(1)-O(1) bond lengths. Both Sc(1)-Br(1) bond lengths are 2.66 Å. O(1) is bonded to four equivalent Sc(1) atoms to form a mixture of corner and edge-sharing OSc4 tetrahedra. Br(1) is bonded in an L-shaped geometry to two equivalent Sc(1) atoms."
GaN,"GaN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one GaN sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All Ga(1)-N(1) bond lengths are 1.85 Å. N(1) is bonded in a trigonal planar geometry to three equivalent Ga(1) atoms."
CrOBr,"CrOBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one CrOBr sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to four equivalent O(1) and two equivalent Br(1) atoms to form a mixture of distorted corner and edge-sharing CrBr2O4 octahedra. The corner-sharing octahedral tilt angles are 26°. There are two shorter (1.98 Å) and two longer (2.06 Å) Cr(1)-O(1) bond lengths. Both Cr(1)-Br(1) bond lengths are 2.47 Å. O(1) is bonded in a distorted see-saw-like geometry to four equivalent Cr(1) atoms. Br(1) is bonded in an L-shaped geometry to two equivalent Cr(1) atoms."
PbBr2,"PbBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PbBr2 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to six equivalent Br(1) atoms to form edge-sharing PbBr6 octahedra. All Pb(1)-Br(1) bond lengths are 3.06 Å. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Pb(1) atoms."
PI3,PI3 is Ammonia-like structured and crystallizes in the trigonal P31m space group. The structure is zero-dimensional and consists of one phosphorus triiodide molecule. P(1) is bonded in a trigonal non-coplanar geometry to three equivalent I(1) atoms. All P(1)-I(1) bond lengths are 2.49 Å. I(1) is bonded in a single-bond geometry to one P(1) atom.
DySI,"DySI crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one DySI sheet oriented in the (0, 0, 1) direction. Dy(1) is bonded to four equivalent S(1) and two equivalent I(1) atoms to form a mixture of corner and edge-sharing DyS4I2 octahedra. The corner-sharing octahedral tilt angles are 21°. There are two shorter (2.71 Å) and two longer (2.74 Å) Dy(1)-S(1) bond lengths. Both Dy(1)-I(1) bond lengths are 3.04 Å. S(1) is bonded to four equivalent Dy(1) atoms to form a mixture of corner and edge-sharing SDy4 trigonal pyramids. I(1) is bonded in an L-shaped geometry to two equivalent Dy(1) atoms."
Pd(Se4Cl)2,"Pd(Se4Cl)2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one Pd(Se4Cl)2 sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded in a distorted square co-planar geometry to two equivalent Se(1) and two equivalent Cl(1) atoms. Both Pd(1)-Se(1) bond lengths are 2.46 Å. Both Pd(1)-Cl(1) bond lengths are 2.34 Å. There are four inequivalent Se sites. In the first Se site, Se(1) is bonded in a 3-coordinate geometry to one Pd(1), one Se(2), and one Se(3) atom. The Se(1)-Se(2) bond length is 2.40 Å. The Se(1)-Se(3) bond length is 2.46 Å. In the second Se site, Se(2) is bonded in a distorted water-like geometry to one Se(1) and one Se(4) atom. The Se(2)-Se(4) bond length is 2.39 Å. In the third Se site, Se(3) is bonded in a water-like geometry to one Se(1) and one Se(4) atom. The Se(3)-Se(4) bond length is 2.33 Å. In the fourth Se site, Se(4) is bonded in a water-like geometry to one Se(2) and one Se(3) atom. Cl(1) is bonded in a single-bond geometry to one Pd(1) atom."
Hf3Te2,"Hf3Te2 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Hf3Te2 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Hf sites. In the first Hf site, Hf(1) is bonded in a 4-coordinate geometry to four equivalent Te(1) atoms. All Hf(1)-Te(1) bond lengths are 2.95 Å. In the second Hf site, Hf(2) is bonded in a distorted linear geometry to two equivalent Te(1) atoms. Both Hf(2)-Te(1) bond lengths are 3.04 Å. Te(1) is bonded in a 5-coordinate geometry to one Hf(2) and four equivalent Hf(1) atoms."
MgCl2,"MgCl2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MgCl2 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing MgCl6 octahedra. All Mg(1)-Cl(1) bond lengths are 2.51 Å. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Mg(1) atoms."
WSe2,"WSe2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one WSe2 sheet oriented in the (0, 0, 1) direction. W(1) is bonded to six equivalent Se(1) atoms to form distorted edge-sharing WSe6 pentagonal pyramids. All W(1)-Se(1) bond lengths are 2.55 Å. Se(1) is bonded in a 3-coordinate geometry to three equivalent W(1) atoms."
CoNb2S4,"CoNb2S4 is beta indium sulfide-derived structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CoNb2S4 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a rectangular see-saw-like geometry to one S(1) and three equivalent S(2) atoms. The Nb(1)-S(1) bond length is 2.43 Å. All Nb(1)-S(2) bond lengths are 2.44 Å. Co(1) is bonded to six equivalent S(1) atoms to form edge-sharing CoS6 octahedra. All Co(1)-S(1) bond lengths are 2.27 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded to one Nb(1) and three equivalent Co(1) atoms to form a mixture of distorted corner and edge-sharing SNbCo3 trigonal pyramids. In the second S site, S(2) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms."
TlF,TlF is Indium-like structured and crystallizes in the orthorhombic Pbcm space group. The structure is zero-dimensional and consists of four thallium(i) fluoride molecules. Tl(1) is bonded in a distorted single-bond geometry to one F(1) atom. The Tl(1)-F(1) bond length is 2.47 Å. F(1) is bonded in a distorted single-bond geometry to one Tl(1) atom.
Rb2Te,"Rb2Te crystallizes in the orthorhombic Pmc2_1 space group. The structure is two-dimensional and consists of one Rb2Te sheet oriented in the (0, 0, 1) direction. There are two inequivalent Rb sites. In the first Rb site, Rb(1) is bonded in a distorted rectangular see-saw-like geometry to four equivalent Te(1) atoms. All Rb(1)-Te(1) bond lengths are 3.72 Å. In the second Rb site, Rb(2) is bonded in an L-shaped geometry to two equivalent Te(1) atoms. Both Rb(2)-Te(1) bond lengths are 3.38 Å. Te(1) is bonded to two equivalent Rb(2) and four equivalent Rb(1) atoms to form a mixture of corner, face, and edge-sharing TeRb6 octahedra. The corner-sharing octahedral tilt angles are 31°."
As2Te3,"As2Te3 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one As2Te3 sheet oriented in the (0, 0, 1) direction. As(1) is bonded to three equivalent Te(1) and three equivalent Te(2) atoms to form a mixture of corner and edge-sharing AsTe6 octahedra. The corner-sharing octahedra are not tilted. All As(1)-Te(1) bond lengths are 2.85 Å. All As(1)-Te(2) bond lengths are 3.02 Å. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted T-shaped geometry to three equivalent As(1) atoms. In the second Te site, Te(2) is bonded to six equivalent As(1) atoms to form edge-sharing TeAs6 octahedra."
NbSe2Br2,"NbSe2Br2 crystallizes in the triclinic P-1 space group. The structure is two-dimensional and consists of one NbSe2Br2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 8-coordinate geometry to two equivalent Se(1); two equivalent Se(2); and four equivalent Br(1,2) atoms. Both Nb(1)-Se(1) bond lengths are 2.64 Å. Both Nb(1)-Se(2) bond lengths are 2.66 Å. There are two shorter (2.77 Å) and two longer (2.79 Å) Nb(1)-Br(1,2) bond lengths. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Se site, Se(2) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. Br(1,2) is bonded in a water-like geometry to two equivalent Nb(1) atoms."
ZrCl2,"ZrCl2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one ZrCl2 sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded to six equivalent Cl(1) atoms to form distorted edge-sharing ZrCl6 pentagonal pyramids. All Zr(1)-Cl(1) bond lengths are 2.61 Å. Cl(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms."
As,As crystallizes in the orthorhombic Pmna space group. The structure is zero-dimensional and consists of two diarsene molecules. As(1) is bonded in a single-bond geometry to one As(1) atom. The As(1)-As(1) bond length is 2.50 Å.
ScOOH,"ScOOH crystallizes in the orthorhombic Pmn2_1 space group. The structure is two-dimensional and consists of one ScOOH sheet oriented in the (0, 0, 1) direction. Sc(1) is bonded to two equivalent O(2) and four equivalent O(1) atoms to form a mixture of corner and edge-sharing ScO6 octahedra. The corner-sharing octahedral tilt angles are 31°. Both Sc(1)-O(2) bond lengths are 2.14 Å. There are two shorter (2.08 Å) and two longer (2.15 Å) Sc(1)-O(1) bond lengths. H(1) is bonded in a single-bond geometry to one O(2) atom. The H(1)-O(2) bond length is 0.97 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded to four equivalent Sc(1) atoms to form a mixture of distorted corner and edge-sharing OSc4 trigonal pyramids. In the second O site, O(2) is bonded in a distorted trigonal planar geometry to two equivalent Sc(1) and one H(1) atom."
Zn(CF3SO3)2,"Zn(CF3SO3)2 crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of two trifluoromethane molecules and one Zn(SO3)2 sheet oriented in the (0, 0, 1) direction. In the Zn(SO3)2 sheet, Zn(1) is bonded in an octahedral geometry to six equivalent O(1) atoms. All Zn(1)-O(1) bond lengths are 2.10 Å. S(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent O(1) atoms. All S(1)-O(1) bond lengths are 1.46 Å. O(1) is bonded in a distorted bent 120 degrees geometry to one Zn(1) and one S(1) atom."
As2Se3,"As2Se3 crystallizes in the orthorhombic Pmn2_1 space group. The structure is two-dimensional and consists of one As2Se3 sheet oriented in the (0, 0, 1) direction. As(1) is bonded in a 3-coordinate geometry to one Se(2) and two equivalent Se(1) atoms. The As(1)-Se(2) bond length is 2.48 Å. There is one shorter (2.42 Å) and one longer (2.47 Å) As(1)-Se(1) bond length. There are two inequivalent Se sites. In the first Se site, Se(2) is bonded in an L-shaped geometry to two equivalent As(1) atoms. In the second Se site, Se(1) is bonded in a distorted water-like geometry to two equivalent As(1) atoms."
TiI3,"TiI3 crystallizes in the orthorhombic Pmm2 space group. The structure is one-dimensional and consists of one TiI3 ribbon oriented in the (1, 0, 0) direction. Ti(1) is bonded to one I(3), one I(4), two equivalent I(1), and two equivalent I(2) atoms to form face-sharing TiI6 octahedra. The Ti(1)-I(3) bond length is 2.75 Å. The Ti(1)-I(4) bond length is 2.83 Å. Both Ti(1)-I(1) bond lengths are 2.76 Å. Both Ti(1)-I(2) bond lengths are 2.84 Å. There are four inequivalent I sites. In the first I site, I(1) is bonded in a 2-coordinate geometry to two equivalent Ti(1) atoms. In the second I site, I(2) is bonded in a distorted L-shaped geometry to two equivalent Ti(1) atoms. In the third I site, I(3) is bonded in a 2-coordinate geometry to two equivalent Ti(1) atoms. In the fourth I site, I(4) is bonded in a distorted L-shaped geometry to two equivalent Ti(1) atoms."
BiO2,"BiO2 crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one BiO2 sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded in a 6-coordinate geometry to six equivalent O(1) atoms. All Bi(1)-O(1) bond lengths are 2.40 Å. O(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Bi(1) atoms."
PtI2,"PtI2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one PtI2 sheet oriented in the (0, 0, 1) direction. Pt(1) is bonded to two equivalent I(2) and three equivalent I(1) atoms to form a mixture of distorted corner and edge-sharing PtI5 square pyramids. There is one shorter (2.63 Å) and one longer (2.65 Å) Pt(1)-I(2) bond length. There are a spread of Pt(1)-I(1) bond distances ranging from 2.62-3.35 Å. There are two inequivalent I sites. In the first I site, I(1) is bonded in a distorted T-shaped geometry to three equivalent Pt(1) atoms. In the second I site, I(2) is bonded in a water-like geometry to two equivalent Pt(1) atoms."
SrO2,"SrO2 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one SrO2 sheet oriented in the (0, 0, 1) direction. Sr(1) is bonded to eight equivalent O(1) atoms to form a mixture of face and edge-sharing SrO8 hexagonal bipyramids. All Sr(1)-O(1) bond lengths are 2.57 Å. O(1) is bonded in a distorted pentagonal planar geometry to four equivalent Sr(1) and one O(1) atom. The O(1)-O(1) bond length is 1.54 Å."
Bi2Te2S,"Bi2Te2S is trigonal omega-derived structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Bi2Te2S sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded to three equivalent Te(1) and three equivalent S(1) atoms to form a mixture of corner and edge-sharing BiTe3S3 octahedra. The corner-sharing octahedra are not tilted. All Bi(1)-Te(1) bond lengths are 3.06 Å. All Bi(1)-S(1) bond lengths are 3.03 Å. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Bi(1) atoms. S(1) is bonded to six equivalent Bi(1) atoms to form edge-sharing SBi6 octahedra."
RbLiS,"RbLiS crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one RbLiS sheet oriented in the (0, 0, 1) direction. Rb(1) is bonded in a 4-coordinate geometry to four equivalent S(1) atoms. All Rb(1)-S(1) bond lengths are 3.28 Å. Li(1) is bonded to four equivalent S(1) atoms to form a mixture of corner and edge-sharing LiS4 tetrahedra. All Li(1)-S(1) bond lengths are 2.51 Å. S(1) is bonded in a 4-coordinate geometry to four equivalent Rb(1) and four equivalent Li(1) atoms."
K2PdO2,"K2PdO2 crystallizes in the orthorhombic Pmmm space group. The structure is one-dimensional and consists of one K2PdO2 ribbon oriented in the (1, 0, 0) direction. K(1) is bonded in a 4-coordinate geometry to two equivalent Pd(1) and two equivalent O(1) atoms. Both K(1)-Pd(1) bond lengths are 2.88 Å. Both K(1)-O(1) bond lengths are 2.65 Å. Pd(1) is bonded in a 4-coordinate geometry to four equivalent K(1) and four equivalent O(1) atoms. All Pd(1)-O(1) bond lengths are 2.07 Å. O(1) is bonded in a distorted water-like geometry to two equivalent K(1) and two equivalent Pd(1) atoms."
TaSe2,"TaSe2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one TaSe2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent Se(1) atoms to form distorted edge-sharing TaSe6 pentagonal pyramids. All Ta(1)-Se(1) bond lengths are 2.61 Å. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms."
YCl,"YCl crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of two YCl sheets oriented in the (0, 0, 1) direction. Y(1) is bonded in a 3-coordinate geometry to three equivalent Cl(1) atoms. All Y(1)-Cl(1) bond lengths are 2.76 Å. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Y(1) atoms."
Mg(AlSe2)2,"Mg(AlSe2)2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Mg(AlSe2)2 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded to six equivalent Se(1) atoms to form MgSe6 octahedra that share corners with six equivalent Al(1)Se4 tetrahedra and edges with six equivalent Mg(1)Se6 octahedra. All Mg(1)-Se(1) bond lengths are 2.67 Å. Al(1) is bonded to one Se(1) and three equivalent Se(2) atoms to form AlSe4 tetrahedra that share corners with three equivalent Mg(1)Se6 octahedra and corners with six equivalent Al(1)Se4 tetrahedra. The corner-sharing octahedral tilt angles are 57°. The Al(1)-Se(1) bond length is 2.31 Å. All Al(1)-Se(2) bond lengths are 2.49 Å. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded to three equivalent Mg(1) and one Al(1) atom to form a mixture of distorted corner and edge-sharing SeMg3Al trigonal pyramids. In the second Se site, Se(2) is bonded in a trigonal non-coplanar geometry to three equivalent Al(1) atoms."
BiI,"BiI crystallizes in the monoclinic C2/m space group. The structure is one-dimensional and consists of two BiI ribbons oriented in the (0, 1, 0) direction. There are two inequivalent Bi sites. In the first Bi site, Bi(1) is bonded to one Bi(2), two equivalent I(1), and two equivalent I(2) atoms to form distorted edge-sharing BiBiI4 square pyramids. The Bi(1)-Bi(2) bond length is 3.09 Å. Both Bi(1)-I(1) bond lengths are 3.14 Å. Both Bi(1)-I(2) bond lengths are 3.15 Å. In the second Bi site, Bi(2) is bonded in a distorted T-shaped geometry to one Bi(1) and two equivalent Bi(2) atoms. Both Bi(2)-Bi(2) bond lengths are 3.07 Å. There are two inequivalent I sites. In the first I site, I(2) is bonded in an L-shaped geometry to two equivalent Bi(1) atoms. In the second I site, I(1) is bonded in an L-shaped geometry to two equivalent Bi(1) atoms."
AgI,"AgI crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one AgI sheet oriented in the (0, 0, 1) direction. Ag(1) is bonded in a 4-coordinate geometry to four equivalent I(1) atoms. All Ag(1)-I(1) bond lengths are 2.92 Å. I(1) is bonded in a 4-coordinate geometry to four equivalent Ag(1) atoms."
AlN,"AlN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one AlN sheet oriented in the (0, 0, 1) direction. Al(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All Al(1)-N(1) bond lengths are 1.81 Å. N(1) is bonded in a trigonal planar geometry to three equivalent Al(1) atoms."
NiBr2,"NiBr2 is trigonal omega-like structured and crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one NiBr2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to three equivalent Br(1) and three equivalent Br(2) atoms to form edge-sharing NiBr6 octahedra. All Ni(1)-Br(1) bond lengths are 2.54 Å. All Ni(1)-Br(2) bond lengths are 2.54 Å. There are two inequivalent Br sites. In the first Br site, Br(1) is bonded in a distorted T-shaped geometry to three equivalent Ni(1) atoms. In the second Br site, Br(2) is bonded in a distorted T-shaped geometry to three equivalent Ni(1) atoms."
FePSe3,"FePSe3 crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one FePSe3 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to six equivalent Se(1) atoms to form FeSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Fe(1)Se6 octahedra. All Fe(1)-Se(1) bond lengths are 2.62 Å. P(1) is bonded to one P(1) and three equivalent Se(1) atoms to form PPSe3 tetrahedra that share corners with six equivalent Fe(1)Se6 octahedra. The corner-sharing octahedral tilt angles are 78°. The P(1)-P(1) bond length is 2.23 Å. All P(1)-Se(1) bond lengths are 2.23 Å. Se(1) is bonded in a distorted trigonal non-coplanar geometry to two equivalent Fe(1) and one P(1) atom."
PbO,"PbO is lead oxide-like structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one PbO sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded in a 4-coordinate geometry to four equivalent O(1) atoms. All Pb(1)-O(1) bond lengths are 2.34 Å. O(1) is bonded to four equivalent Pb(1) atoms to form a mixture of corner and edge-sharing OPb4 tetrahedra."
TaCoTe2,"TaCoTe2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one TaCoTe2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded in a 9-coordinate geometry to four equivalent Co(1), two equivalent Te(2), and three equivalent Te(1) atoms. There are a spread of Ta(1)-Co(1) bond distances ranging from 2.59-2.93 Å. There is one shorter (2.82 Å) and one longer (2.89 Å) Ta(1)-Te(2) bond length. There are a spread of Ta(1)-Te(1) bond distances ranging from 2.82-2.96 Å. Co(1) is bonded in a 9-coordinate geometry to four equivalent Ta(1), one Co(1), two equivalent Te(1), and two equivalent Te(2) atoms. The Co(1)-Co(1) bond length is 2.45 Å. There is one shorter (2.61 Å) and one longer (2.70 Å) Co(1)-Te(1) bond length. There is one shorter (2.55 Å) and one longer (2.59 Å) Co(1)-Te(2) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a 5-coordinate geometry to three equivalent Ta(1) and two equivalent Co(1) atoms. In the second Te site, Te(2) is bonded in a 4-coordinate geometry to two equivalent Ta(1) and two equivalent Co(1) atoms."
Pr2Br5,"Pr2Br5 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one Pr2Br5 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Pr sites. In the first Pr site, Pr(1) is bonded to two equivalent Br(2), two equivalent Br(3), and three equivalent Br(1) atoms to form a mixture of distorted face and edge-sharing PrBr7 pentagonal bipyramids. Both Pr(1)-Br(2) bond lengths are 3.03 Å. Both Pr(1)-Br(3) bond lengths are 3.00 Å. There are two shorter (3.05 Å) and one longer (3.10 Å) Pr(1)-Br(1) bond length. In the second Pr site, Pr(2) is bonded to one Br(2), one Br(3), two equivalent Br(4), and three equivalent Br(5) atoms to form distorted edge-sharing PrBr7 pentagonal bipyramids. The Pr(2)-Br(2) bond length is 3.07 Å. The Pr(2)-Br(3) bond length is 3.06 Å. Both Pr(2)-Br(4) bond lengths are 2.93 Å. There are two shorter (3.02 Å) and one longer (3.13 Å) Pr(2)-Br(5) bond length. There are five inequivalent Br sites. In the first Br site, Br(1) is bonded in a trigonal non-coplanar geometry to three equivalent Pr(1) atoms. In the second Br site, Br(2) is bonded in a distorted T-shaped geometry to one Pr(2) and two equivalent Pr(1) atoms. In the third Br site, Br(3) is bonded in a distorted T-shaped geometry to one Pr(2) and two equivalent Pr(1) atoms. In the fourth Br site, Br(4) is bonded in an L-shaped geometry to two equivalent Pr(2) atoms. In the fifth Br site, Br(5) is bonded in a trigonal non-coplanar geometry to three equivalent Pr(2) atoms."
LuOBr,"LuOBr is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one LuOBr sheet oriented in the (0, 0, 1) direction. Lu(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent Br(1) atoms. All Lu(1)-O(1) bond lengths are 2.17 Å. All Lu(1)-Br(1) bond lengths are 3.12 Å. O(1) is bonded to four equivalent Lu(1) atoms to form a mixture of corner and edge-sharing OLu4 tetrahedra. Br(1) is bonded in a 4-coordinate geometry to four equivalent Lu(1) atoms."
CaSi,"CaSi crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one CaSi sheet oriented in the (0, 0, 1) direction. Ca(1) is bonded in a 6-coordinate geometry to six equivalent Si(1) atoms. There are four shorter (3.00 Å) and two longer (3.12 Å) Ca(1)-Si(1) bond lengths. Si(1) is bonded in a 8-coordinate geometry to six equivalent Ca(1) and two equivalent Si(1) atoms. Both Si(1)-Si(1) bond lengths are 2.47 Å."
TiBr2,"TiBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TiBr2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent Br(1) atoms to form edge-sharing TiBr6 octahedra. All Ti(1)-Br(1) bond lengths are 2.67 Å. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Ti(1) atoms."
YbOCl,"YbOCl is Cotunnite-derived structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one YbOCl sheet oriented in the (0, 0, 1) direction. Yb(1) is bonded in a 7-coordinate geometry to four equivalent O(1) and three equivalent Cl(1) atoms. There is one shorter (2.28 Å) and three longer (2.31 Å) Yb(1)-O(1) bond lengths. All Yb(1)-Cl(1) bond lengths are 2.75 Å. O(1) is bonded to four equivalent Yb(1) atoms to form a mixture of corner and edge-sharing OYb4 tetrahedra. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Yb(1) atoms."
Nb3SiTe6,"Nb3SiTe6 crystallizes in the orthorhombic Pmc2_1 space group. The structure is two-dimensional and consists of one Nb3SiTe6 sheet oriented in the (0, 0, 1) direction. There are three inequivalent Nb sites. In the first Nb site, Nb(1) is bonded in a 7-coordinate geometry to one Si(1), two equivalent Te(1), two equivalent Te(2), and two equivalent Te(3) atoms. The Nb(1)-Si(1) bond length is 2.74 Å. Both Nb(1)-Te(1) bond lengths are 2.77 Å. Both Nb(1)-Te(2) bond lengths are 2.89 Å. Both Nb(1)-Te(3) bond lengths are 2.97 Å. In the second Nb site, Nb(2) is bonded in a 7-coordinate geometry to one Si(1), two equivalent Te(2), and four equivalent Te(1) atoms. The Nb(2)-Si(1) bond length is 2.84 Å. Both Nb(2)-Te(2) bond lengths are 2.90 Å. There are two shorter (2.81 Å) and two longer (2.87 Å) Nb(2)-Te(1) bond lengths. In the third Nb site, Nb(3) is bonded in a 8-coordinate geometry to two equivalent Si(1), two equivalent Te(2), and four equivalent Te(3) atoms. Both Nb(3)-Si(1) bond lengths are 2.85 Å. Both Nb(3)-Te(2) bond lengths are 2.97 Å. All Nb(3)-Te(3) bond lengths are 2.85 Å. Si(1) is bonded to one Nb(1), one Nb(2), two equivalent Nb(3), two equivalent Te(2), and two equivalent Te(3) atoms to form distorted corner-sharing SiNb4Te4 hexagonal bipyramids. Both Si(1)-Te(2) bond lengths are 2.72 Å. Both Si(1)-Te(3) bond lengths are 2.78 Å. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted T-shaped geometry to one Nb(1) and two equivalent Nb(2) atoms. In the second Te site, Te(2) is bonded in a 4-coordinate geometry to one Nb(1), one Nb(2), one Nb(3), and one Si(1) atom. In the third Te site, Te(3) is bonded in a 4-coordinate geometry to one Nb(1), two equivalent Nb(3), and one Si(1) atom."
PbFI,"PbFI is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one PbFI sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded in a 4-coordinate geometry to four equivalent I(1) and four equivalent F(1) atoms. All Pb(1)-I(1) bond lengths are 3.38 Å. All Pb(1)-F(1) bond lengths are 2.57 Å. I(1) is bonded in a 4-coordinate geometry to four equivalent Pb(1) atoms. F(1) is bonded to four equivalent Pb(1) atoms to form a mixture of corner and edge-sharing FPb4 tetrahedra."
